

FirstName, LastName, AccountName, Email, Phone
Jitendra, Bafna, XYZ Account, jitendra@gmail.com, 423767346 
Jeevan, Jo, XYZ Account, jitendra1@gmail.com, 623767346 
Aditya, Jam, XYZ Account, jitendra2@gmail.com, 523767346 
Ajay, Bo, XYZ Account, jitendra3@gmail.com, 723767346 
Sachin, Kim, XYZ Account, jitendra4@gmail.com, 823767346 
Ram, Burny, XYZ Account, jitendra5@gmail.com, 923767346 
Deepak, Sade, XYZ Account, jitendra6@gmail.com, 4 423767341 
Pravin, Bana, XYZ Account, jitendra7@gmail.com, 4237673462 
Rakesh, Bafo, XYZ Account, jitendra8@gmail.com, 4237673463 
Ravi, fona, XYZ Account, jitendra9@gmail.com, 4237673464 
Vjay, Wiko, XYZ Account, jitendra10@gmail.com, 4237673465 
Jitesh, Fuli, XYZ Account, jitendra11@gmail.com, 4237673466 
Sourabh, Yagan, XYZ Account, jitendra12@gmail.com, 4237673467
