

FirstName, LastName, AccountName, Email, Phone
Jitendra, Bafna,XYZ Account, jitendra@gmail.com,423767346 
Jeevan, Bafna, XYZ Account, jitendra1@gmail.com, 623767346 
Aditya, Bafna, XYZ Account,jitendra2@gmail.com, 523767346 
Ajay, Bafna, XYZ Account, jitendra3@gmail.com, 723767346 
Sachin, Bafna, XYZ Account, jitendra4@gmail.com, 823767346 
Ram, Bafna, XYZ Account, jitendra5@gmail.com, 923767346 
Deepak, Bafna, XYZ Account, jitendra6@gmail.com, 4 423767341 
Pravin, Bafna, XYZ Account, jitendra7@gmail.com,4237673462 
Rakesh, Bafna, XYZ Account, jitendra8@gmail.com,4237673463 
Ravi, Bafna, XYZ Account, jitendra9@gmail.com,4237673464 
Vjay, Bafna, XYZ Account, jitendra10@gmail.com, 4237673465 
Jitesh, Bafna, XYZ Account, jitendra11@gmail.com, 4237673466 
Sourabh, Bafna, XYZ Account, jitendra12@gmail.com, 4237673467
